Point Num.,Point Desc.,X,Y,Target Ht.,Max Ht.,Exceeds By,Layer
19947,pSlQg,20.7111,14.7754,19.0819,0.0,19.0819,0,
19946,hqOFC,20.8583,17.001,3.72487,0.0,3.72487,0,
19945,iGRpm,19.7615,13.5475,9.06334,0.0,9.06334,0,
19944,XsTYf,21.0595,12.6024,11.6277,0.0,11.6277,0,
19943,btJtw,22.5141,16.6347,8.26292,0.0,8.26292,0,
19939,qKNbi,20.2338,13.1145,15.3903,0.0,15.3903,0,
19936,xJMgd,20.7047,14.142,16.4431,0.0,16.4431,0,
19935,rSVGQ,22.6319,12.6558,17.1402,0.0,17.1402,0,
19935,rSVGQ,22.6319,12.6558,17.1402,0.0,17.1402,0,
19933,KiCLe,21.3675,14.1211,1.15025,0.0,1.15025,0,
19929,QHWas,25.2012,13.1945,12.0811,0.0,12.0811,0,
19929,QHWas,25.2012,13.1945,12.0811,0.0,12.0811,0,
19929,QHWas,25.2012,13.1945,12.0811,0.0,12.0811,0,
19927,vRzKJ,19.9909,14.7816,8.28703,0.0,8.28703,0,
19926,fhrQg,23.2574,15.12,2.05431,0.0,2.05431,0,
19926,fhrQg,23.2574,15.12,2.05431,0.0,2.05431,0,
19925,nlAgC,23.0121,15.9913,12.5251,0.0,12.5251,0,
19924,jrMgy,23.5861,15.1001,10.1084,0.0,10.1084,0,
19924,jrMgy,23.5861,15.1001,10.1084,0.0,10.1084,0,
19922,Nzsuv,21.2715,15.6744,18.3032,0.0,18.3032,0,
19921,rNEQb,19.3768,12.6455,16.7245,0.0,16.7245,0,
19920,RwtZW,21.3656,14.2818,1.17014,0.0,1.17014,0,
19918,pEqUM,17.2896,17.286,18.0603,0.0,18.0603,0,
19916,hKXmP,19.539,16.5673,2.32931,0.0,2.32931,0,
19914,wzoGX,24.1805,16.1924,3.77175,0.0,3.77175,0,
19914,wzoGX,24.1805,16.1924,3.77175,0.0,3.77175,0,
19909,DBCjl,22.6058,12.8974,16.4407,0.0,16.4407,0,
19909,DBCjl,22.6058,12.8974,16.4407,0.0,16.4407,0,
19908,HiifV,23.9968,12.038,7.34842,0.0,7.34842,0,
19907,GrJaP,25.5837,16.6668,1.47852,0.0,1.47852,0,
19907,GrJaP,25.5837,16.6668,1.47852,0.0,1.47852,0,
19906,aMKZm,21.7437,15.1426,18.7205,0.0,18.7205,0,
19904,ydPYh,17.6372,17.8755,0.0518184,0.0,0.0518184,0,
19903,DnEZy,18.8128,12.5529,6.51159,0.0,6.51159,0,
19902,wPhzp,20.5853,13.5942,8.81981,0.0,8.81981,0,
19900,HPRyX,22.3279,14.098,5.50983,0.0,5.50983,0,
19898,ugSlG,21.756,16.4588,7.47947,0.0,7.47947,0,
19896,DtSEp,20.5874,12.7124,10.2126,0.0,10.2126,0,
19895,DlWJl,22.1435,14.1062,7.63778,0.0,7.63778,0,
19893,uiigQ,21.6833,17.9189,3.07765,0.0,3.07765,0,
19893,uiigQ,21.6833,17.9189,3.07765,0.0,3.07765,0,
19892,sJFDq,22.9928,17.0125,13.3057,0.0,13.3057,0,
19892,sJFDq,22.9928,17.0125,13.3057,0.0,13.3057,0,
19889,kLydo,24.6557,12.6833,11.5275,0.0,11.5275,0,
19889,kLydo,24.6557,12.6833,11.5275,0.0,11.5275,0,
19889,kLydo,24.6557,12.6833,11.5275,0.0,11.5275,0,
19887,OUOtd,24.9426,14.3464,8.29256,0.0,8.29256,0,
19887,OUOtd,24.9426,14.3464,8.29256,0.0,8.29256,0,
19885,mCvwb,23.4323,17.8163,11.8609,0.0,11.8609,0,
19885,mCvwb,23.4323,17.8163,11.8609,0.0,11.8609,0,
19884,FRNiS,24.0901,14.8499,12.3509,0.0,12.3509,0,
19884,FRNiS,24.0901,14.8499,12.3509,0.0,12.3509,0,
19883,vkwXm,24.5193,12.7228,4.9951,0.0,4.9951,0,
19883,vkwXm,24.5193,12.7228,4.9951,0.0,4.9951,0,
19882,FyeRg,22.6085,17.1809,1.91887,0.0,1.91887,0,
19882,FyeRg,22.6085,17.1809,1.91887,0.0,1.91887,0,
19881,otbmI,18.7802,16.9399,7.23898,0.0,7.23898,0,
19880,dpfUe,20.2863,12.1961,14.5605,0.0,14.5605,0,
19879,bXSbu,19.3286,17.3764,5.26157,0.0,5.26157,0,
19878,UJZtb,22.3194,13.9756,15.8113,0.0,15.8113,0,
19876,PirvV,21.2025,14.345,7.61473,0.0,7.61473,0,
19875,lphAl,22.6688,15.5937,12.4642,0.0,12.4642,0,
19874,hFRJo,15.5543,16.674,3.5363,0.0,3.5363,0,
19873,THVcF,21.1818,13.2885,13.312,0.0,13.312,0,
19872,aEGUs,21.4007,13.545,9.29556,0.0,9.29556,0,
19871,fOHuU,24.5144,14.3439,3.04963,0.0,3.04963,0,
19871,fOHuU,24.5144,14.3439,3.04963,0.0,3.04963,0,
19870,Kityz,25.8176,13.4202,2.28442,0.0,2.28442,0,
19870,Kityz,25.8176,13.4202,2.28442,0.0,2.28442,0,
19870,Kityz,25.8176,13.4202,2.28442,0.0,2.28442,0,
19869,aIwaO,23.9282,13.8541,4.42092,0.0,4.42092,0,
19869,aIwaO,23.9282,13.8541,4.42092,0.0,4.42092,0,
19868,Dikqw,25.3371,13.5185,10.4688,0.0,10.4688,0,
19868,Dikqw,25.3371,13.5185,10.4688,0.0,10.4688,0,
19868,Dikqw,25.3371,13.5185,10.4688,0.0,10.4688,0,
19866,XJIvs,23.2855,15.1932,6.58546,0.0,6.58546,0,
19866,XJIvs,23.2855,15.1932,6.58546,0.0,6.58546,0,
19865,MRXrc,20.5722,14.4405,17.819,0.0,17.819,0,
19864,VQZyw,17.8544,16.8624,0.812929,0.0,0.812929,0,
19858,OPrrB,19.2893,12.2973,3.06456,0.0,3.06456,0,
19857,zIyIj,21.8163,17.7991,13.464,0.0,13.464,0,
19857,zIyIj,21.8163,17.7991,13.464,0.0,13.464,0,
19856,EOKeB,22.5229,13.2488,15.0944,0.0,15.0944,0,
19856,EOKeB,22.5229,13.2488,15.0944,0.0,15.0944,0,
19855,Irlej,17.4937,17.7987,16.3489,0.0,16.3489,0,
19854,NrSFR,18.7785,17.4952,1.41023,0.0,1.41023,0,
19852,wZSKE,18.023,16.5925,5.29708,0.0,5.29708,0,
19850,QrpGb,21.9368,16.6526,17.43,0.0,17.43,0,
19848,yDpoa,18.7016,13.0667,12.2554,0.0,12.2554,0,
19847,wJFxF,24.9875,14.8822,6.74255,0.0,6.74255,0,
19847,wJFxF,24.9875,14.8822,6.74255,0.0,6.74255,0,
19845,pEiMi,22.1189,17.5554,16.4013,0.0,16.4013,0,
19845,pEiMi,22.1189,17.5554,16.4013,0.0,16.4013,0,
19844,MfovV,23.9287,14.5555,8.95494,0.0,8.95494,0,
19844,MfovV,23.9287,14.5555,8.95494,0.0,8.95494,0,
19842,ujnbY,21.6697,17.2308,6.99956,0.0,6.99956,0,
19842,ujnbY,21.6697,17.2308,6.99956,0.0,6.99956,0,
19839,tjStF,20.2429,12.4342,8.62562,0.0,8.62562,0,
19838,UTHZV,23.7131,16.7175,10.4769,0.0,10.4769,0,
19835,EvIGX,21.8257,12.4842,13.9513,0.0,13.9513,0,
19835,EvIGX,21.8257,12.4842,13.9513,0.0,13.9513,0,
19833,PIThf,15.9894,17.9826,13.0104,0.0,13.0104,0,
19831,NUeCP,23.1962,12.955,11.1009,0.0,11.1009,0,
19831,NUeCP,23.1962,12.955,11.1009,0.0,11.1009,0,
19828,ewOGB,25.0877,14.3642,12.444,0.0,12.444,0,
19828,ewOGB,25.0877,14.3642,12.444,0.0,12.444,0,
19827,oGJVS,20.7748,15.9873,18.4499,0.0,18.4499,0,
19826,hkpTC,21.9569,12.3996,8.76526,0.0,8.76526,0,
19826,hkpTC,21.9569,12.3996,8.76526,0.0,8.76526,0,
19824,wKjpE,20.9313,15.4334,1.93482,0.0,1.93482,0,
19822,zNTVK,24.9637,15.5375,8.1711,0.0,8.1711,0,
19822,zNTVK,24.9637,15.5375,8.1711,0.0,8.1711,0,
19818,HFaEx,21.6778,14.9085,12.3956,0.0,12.3956,0,
19816,kvwMg,22.9563,15.7874,19.4846,0.0,19.4846,0,
19815,wyQYp,24.0913,16.7425,13.0219,0.0,13.0219,0,
19815,wyQYp,24.0913,16.7425,13.0219,0.0,13.0219,0,
19814,EVuMW,23.9026,16.0167,15.3707,0.0,15.3707,0,
19814,EVuMW,23.9026,16.0167,15.3707,0.0,15.3707,0,
19811,dvgpE,22.6141,13.7813,12.9364,0.0,12.9364,0,
19811,dvgpE,22.6141,13.7813,12.9364,0.0,12.9364,0,
19810,KUOBD,25.6315,14.5574,18.4155,0.0,18.4155,0,
19810,KUOBD,25.6315,14.5574,18.4155,0.0,18.4155,0,
19809,ixxLh,25.9262,17.7659,3.7338,0.0,3.7338,0,
19809,ixxLh,25.9262,17.7659,3.7338,0.0,3.7338,0,
19808,dpTOG,24.7077,12.0148,9.9601,0.0,9.9601,0,
19808,dpTOG,24.7077,12.0148,9.9601,0.0,9.9601,0,
19807,NKLVx,20.7702,16.0042,16.8057,0.0,16.8057,0,
19805,nBpFV,24.8627,14.2384,17.2526,0.0,17.2526,0,
19805,nBpFV,24.8627,14.2384,17.2526,0.0,17.2526,0,
19804,LDBrv,22.9442,17.119,19.1685,0.0,19.1685,0,
19804,LDBrv,22.9442,17.119,19.1685,0.0,19.1685,0,
19803,xkwvR,23.3838,16.1276,15.194,0.0,15.194,0,
19798,QrKGs,25.7435,14.6465,0.449902,0.0,0.449902,0,
19798,QrKGs,25.7435,14.6465,0.449902,0.0,0.449902,0,
19795,mMMZn,21.7405,16.7719,16.0617,0.0,16.0617,0,
19795,mMMZn,21.7405,16.7719,16.0617,0.0,16.0617,0,
19794,IJKsY,22.0452,16.7388,8.8113,0.0,8.8113,0,
19793,OkTBc,21.784,12.8253,5.86173,0.0,5.86173,0,
19793,OkTBc,21.784,12.8253,5.86173,0.0,5.86173,0,
19792,cHuTr,22.3417,15.7789,9.2754,0.0,9.2754,0,
19790,klTDz,25.0353,13.1236,6.28172,0.0,6.28172,0,
19790,klTDz,25.0353,13.1236,6.28172,0.0,6.28172,0,
19790,klTDz,25.0353,13.1236,6.28172,0.0,6.28172,0,
19789,kzIqt,21.1278,15.0835,17.6343,0.0,17.6343,0,
19788,vVmEs,24.6739,12.8071,1.61259,0.0,1.61259,0,
19788,vVmEs,24.6739,12.8071,1.61259,0.0,1.61259,0,
19787,yDDOE,20.6889,17.3806,19.8667,0.0,19.8667,0,
19785,KHVrH,18.4872,12.6969,4.60915,0.0,4.60915,0,
19783,njppf,21.4358,15.8994,8.89711,0.0,8.89711,0,
19782,VJLar,24.1716,17.4653,0.968429,0.0,0.968429,0,
19782,VJLar,24.1716,17.4653,0.968429,0.0,0.968429,0,
19781,qFFAm,23.0438,12.8241,10.0523,0.0,10.0523,0,
19781,qFFAm,23.0438,12.8241,10.0523,0.0,10.0523,0,
19780,tSBsq,23.6085,13.2746,13.8787,0.0,13.8787,0,
19780,tSBsq,23.6085,13.2746,13.8787,0.0,13.8787,0,
19779,XeGuQ,24.4611,12.0367,15.278,0.0,15.278,0,
19779,XeGuQ,24.4611,12.0367,15.278,0.0,15.278,0,
19778,zRqAi,16.7279,16.685,5.39484,0.0,5.39484,0,
19777,Xwcen,21.3821,16.7858,0.120765,0.0,0.120765,0,
19777,Xwcen,21.3821,16.7858,0.120765,0.0,0.120765,0,
19776,vckhg,24.0521,14.1364,7.63718,0.0,7.63718,0,
19776,vckhg,24.0521,14.1364,7.63718,0.0,7.63718,0,
19775,ajUBj,17.0801,16.8148,2.21257,0.0,2.21257,0,
19771,lnZjH,24.9723,17.6533,19.808,0.0,19.808,0,
19771,lnZjH,24.9723,17.6533,19.808,0.0,19.808,0,
19769,dRCWa,20.6832,13.3191,2.46105,0.0,2.46105,0,
19765,xPBQr,17.9975,17.3307,5.93766,0.0,5.93766,0,
19764,jrOWv,23.4961,16.5218,17.2926,0.0,17.2926,0,
19763,seJRo,24.8517,14.2238,14.3966,0.0,14.3966,0,
19763,seJRo,24.8517,14.2238,14.3966,0.0,14.3966,0,
19761,Dxmuk,23.553,13.6615,3.06637,0.0,3.06637,0,
19761,Dxmuk,23.553,13.6615,3.06637,0.0,3.06637,0,
19760,KzUMc,19.4427,17.9109,6.63737,0.0,6.63737,0,
19760,KzUMc,19.4427,17.9109,6.63737,0.0,6.63737,0,
19759,HHFCn,19.7909,13.4781,16.0537,0.0,16.0537,0,
19758,ZZRDc,19.929,12.4617,12.093,0.0,12.093,0,
19756,pKshq,21.5462,17.5491,9.38603,0.0,9.38603,0,
19756,pKshq,21.5462,17.5491,9.38603,0.0,9.38603,0,
19753,DNdEN,25.9691,15.7367,14.1399,0.0,14.1399,0,
19753,DNdEN,25.9691,15.7367,14.1399,0.0,14.1399,0,
19752,PhEyH,17.6056,17.8398,18.7332,0.0,18.7332,0,
19751,hqKKq,20.7069,12.6612,7.79377,0.0,7.79377,0,
19748,PgWlH,18.7296,17.7296,2.00641,0.0,2.00641,0,
19747,ZjUME,21.5265,14.8657,15.1776,0.0,15.1776,0,
19744,pwliI,24.7232,16.7482,14.8179,0.0,14.8179,0,
19744,pwliI,24.7232,16.7482,14.8179,0.0,14.8179,0,
19743,oKGGy,21.4491,13.5261,19.9983,0.0,19.9983,0,
19742,KkAxD,20.0693,15.1105,10.235,0.0,10.235,0,
19740,KvELn,20.7558,15.0494,4.03787,0.0,4.03787,0,
19739,bOaro,16.305,17.14,17.6845,0.0,17.6845,0,
19738,wERnh,23.9376,13.4804,5.43493,0.0,5.43493,0,
19738,wERnh,23.9376,13.4804,5.43493,0.0,5.43493,0,
19737,UOUgO,22.0222,17.5827,17.2994,0.0,17.2994,0,
19737,UOUgO,22.0222,17.5827,17.2994,0.0,17.2994,0,
19736,PiTxN,17.4974,16.517,5.89369,0.0,5.89369,0,
19731,HbdCI,23.3605,17.7946,5.14392,0.0,5.14392,0,
19731,HbdCI,23.3605,17.7946,5.14392,0.0,5.14392,0,
19730,JvjvO,23.0831,12.8701,17.8398,0.0,17.8398,0,
19730,JvjvO,23.0831,12.8701,17.8398,0.0,17.8398,0,
19727,mUFaB,22.6045,15.8211,11.1565,0.0,11.1565,0,
19726,hKpSF,19.8144,13.5704,14.0903,0.0,14.0903,0,
19724,fCQMv,23.683,14.5919,16.0446,0.0,16.0446,0,
19724,fCQMv,23.683,14.5919,16.0446,0.0,16.0446,0,
19721,CEgNe,15.4836,16.3,14.8779,0.0,14.8779,0,
19718,GGExk,25.6653,14.1964,17.7566,0.0,17.7566,0,
19718,GGExk,25.6653,14.1964,17.7566,0.0,17.7566,0,
19718,GGExk,25.6653,14.1964,17.7566,0.0,17.7566,0,
19717,YwOCW,22.467,15.0449,3.07129,0.0,3.07129,0,
19716,RIcVB,15.4643,16.5102,17.2277,0.0,17.2277,0,
19715,WRwiT,22.0021,15.4874,11.9307,0.0,11.9307,0,
19713,LNWjq,22.7467,15.1393,3.25374,0.0,3.25374,0,
19712,AHKCY,16.6364,17.4453,16.9104,0.0,16.9104,0,
19711,uQjrs,23.7935,17.0992,11.6647,0.0,11.6647,0,
19711,uQjrs,23.7935,17.0992,11.6647,0.0,11.6647,0,
19710,PHTmQ,23.0692,15.1312,0.954305,0.0,0.954305,0,
19710,PHTmQ,23.0692,15.1312,0.954305,0.0,0.954305,0,
19709,Zfqrt,23.3259,16.175,19.5198,0.0,19.5198,0,
19708,LMFzF,24.0055,16.8924,19.3545,0.0,19.3545,0,
19703,xKEZm,24.0025,17.3826,3.72862,0.0,3.72862,0,
19703,xKEZm,24.0025,17.3826,3.72862,0.0,3.72862,0,
19701,EhMDQ,17.1961,16.3236,5.26997,0.0,5.26997,0,
19700,GdYLr,23.9501,15.4054,9.84022,0.0,9.84022,0,
19700,GdYLr,23.9501,15.4054,9.84022,0.0,9.84022,0,
19699,ZnYsM,25.5695,14.7073,2.70085,0.0,2.70085,0,
19699,ZnYsM,25.5695,14.7073,2.70085,0.0,2.70085,0,
19698,MZIiy,25.9163,14.9064,12.9867,0.0,12.9867,0,
19698,MZIiy,25.9163,14.9064,12.9867,0.0,12.9867,0,
19697,FZYJN,21.2459,17.8129,17.5494,0.0,17.5494,0,
19695,gDOxi,20.4912,13.4754,3.1847,0.0,3.1847,0,
19694,wDLmh,18.531,12.2761,13.8923,0.0,13.8923,0,
19692,GwZrD,16.5486,17.2882,13.6917,0.0,13.6917,0,
19688,sXbxC,23.4857,15.8184,9.01752,0.0,9.01752,0,
19687,xPqjQ,19.995,17.9839,7.45395,0.0,7.45395,0,
19687,xPqjQ,19.995,17.9839,7.45395,0.0,7.45395,0,
19686,wqXSa,15.8515,16.6675,16.3169,0.0,16.3169,0,
19685,Lqzku,21.9451,17.2103,14.4601,0.0,14.4601,0,
19685,Lqzku,21.9451,17.2103,14.4601,0.0,14.4601,0,
19684,IoJQk,21.7196,13.5098,11.134,0.0,11.134,0,
19681,fOYmr,20.4601,17.4302,3.63153,0.0,3.63153,0,
19679,MijBl,25.4783,16.9401,13.2215,0.0,13.2215,0,
19679,MijBl,25.4783,16.9401,13.2215,0.0,13.2215,0,
19677,vdIfS,20.1985,13.4954,12.2376,0.0,12.2376,0,
19675,KWExR,25.8292,16.2442,14.8877,0.0,14.8877,0,
19675,KWExR,25.8292,16.2442,14.8877,0.0,14.8877,0,
19673,FQYYT,23.1598,14.3511,13.9907,0.0,13.9907,0,
19673,FQYYT,23.1598,14.3511,13.9907,0.0,13.9907,0,
19670,hLyWD,20.9553,15.3079,18.575,0.0,18.575,0,
19669,xYxXa,16.4204,16.3415,12.0051,0.0,12.0051,0,
19668,ofBDf,25.6239,14.1443,9.84817,0.0,9.84817,0,
19668,ofBDf,25.6239,14.1443,9.84817,0.0,9.84817,0,
19668,ofBDf,25.6239,14.1443,9.84817,0.0,9.84817,0,
19667,WPVHd,18.8653,12.515,18.0013,0.0,18.0013,0,
19665,ftYMI,20.0453,14.2878,2.27028,0.0,2.27028,0,
19664,ZyfZP,23.5834,14.6525,11.5319,0.0,11.5319,0,
19664,ZyfZP,23.5834,14.6525,11.5319,0.0,11.5319,0,
19663,jsxJv,24.1963,17.4331,1.22418,0.0,1.22418,0,
19663,jsxJv,24.1963,17.4331,1.22418,0.0,1.22418,0,
19661,vOAYs,24.593,12.7894,10.8729,0.0,10.8729,0,
19661,vOAYs,24.593,12.7894,10.8729,0.0,10.8729,0,
19660,UsDjX,21.4664,16.4848,14.3705,0.0,14.3705,0,
19658,JWLjA,23.9108,15.5683,6.64373,0.0,6.64373,0,
19658,JWLjA,23.9108,15.5683,6.64373,0.0,6.64373,0,
19656,jRYpY,23.4282,13.5313,14.8084,0.0,14.8084,0,
19656,jRYpY,23.4282,13.5313,14.8084,0.0,14.8084,0,
19655,dlWzt,25.0173,16.083,15.4402,0.0,15.4402,0,
19655,dlWzt,25.0173,16.083,15.4402,0.0,15.4402,0,
19654,SIvPY,22.3477,16.5767,6.72405,0.0,6.72405,0,
19653,LZmmQ,21.3197,16.7453,4.47093,0.0,4.47093,0,
19653,LZmmQ,21.3197,16.7453,4.47093,0.0,4.47093,0,
19651,sLGHT,21.0803,17.2159,11.5156,0.0,11.5156,0,
19649,FOMzF,23.1783,12.0277,19.3813,0.0,19.3813,0,
19648,bTHlc,20.3691,17.204,5.64189,0.0,5.64189,0,
19647,Gxkev,24.0817,15.9262,2.99857,0.0,2.99857,0,
19647,Gxkev,24.0817,15.9262,2.99857,0.0,2.99857,0,
19646,iOLYq,19.1296,12.983,6.64786,0.0,6.64786,0,
19645,pVJhk,22.9428,12.7806,16.6499,0.0,16.6499,0,
19645,pVJhk,22.9428,12.7806,16.6499,0.0,16.6499,0,
19643,fZPot,24.0664,17.3807,5.36577,0.0,5.36577,0,
19643,fZPot,24.0664,17.3807,5.36577,0.0,5.36577,0,
19642,jcgCP,24.4181,12.1399,19.6053,0.0,19.6053,0,
19642,jcgCP,24.4181,12.1399,19.6053,0.0,19.6053,0,
19641,VRuIN,21.4973,13.3254,11.045,0.0,11.045,0,
19639,zmzVk,23.9418,12.8524,2.54004,0.0,2.54004,0,
19639,zmzVk,23.9418,12.8524,2.54004,0.0,2.54004,0,
19637,biwGk,22.997,17.3617,14.0239,0.0,14.0239,0,
19637,biwGk,22.997,17.3617,14.0239,0.0,14.0239,0,
19636,QVApQ,24.0439,12.7559,7.21117,0.0,7.21117,0,
19636,QVApQ,24.0439,12.7559,7.21117,0.0,7.21117,0,
19632,zIYeL,19.1991,17.2576,11.7589,0.0,11.7589,0,
19631,JcoAf,21.2506,15.1244,13.1179,0.0,13.1179,0,
19629,ORyTV,24.7892,16.0895,7.05177,0.0,7.05177,0,
19629,ORyTV,24.7892,16.0895,7.05177,0.0,7.05177,0,
19628,MsodI,22.431,12.8001,2.44445,0.0,2.44445,0,
19628,MsodI,22.431,12.8001,2.44445,0.0,2.44445,0,
19627,RaEMT,21.6357,16.8698,3.05429,0.0,3.05429,0,
19627,RaEMT,21.6357,16.8698,3.05429,0.0,3.05429,0,
19625,vuEcD,23.6244,14.7394,15.4812,0.0,15.4812,0,
19625,vuEcD,23.6244,14.7394,15.4812,0.0,15.4812,0,
19624,ztgPy,19.0819,17.3042,0.695852,0.0,0.695852,0,
19623,BrCAf,23.683,17.1674,10.5011,0.0,10.5011,0,
19623,BrCAf,23.683,17.1674,10.5011,0.0,10.5011,0,
19622,UWSoh,19.7667,14.1789,5.85954,0.0,5.85954,0,
19621,nLzOW,20.3748,13.6439,6.37163,0.0,6.37163,0,
19620,IpAxk,23.5633,17.9872,6.23321,0.0,6.23321,0,
19620,IpAxk,23.5633,17.9872,6.23321,0.0,6.23321,0,
19618,qGpWu,24.044,17.4989,2.11032,0.0,2.11032,0,
19618,qGpWu,24.044,17.4989,2.11032,0.0,2.11032,0,
19615,srrTW,16.8351,17.5414,15.6192,0.0,15.6192,0,
19614,LlvVB,24.7683,12.6259,14.0045,0.0,14.0045,0,
19614,LlvVB,24.7683,12.6259,14.0045,0.0,14.0045,0,
19614,LlvVB,24.7683,12.6259,14.0045,0.0,14.0045,0,
19612,TpagZ,23.6713,14.9,4.46216,0.0,4.46216,0,
19612,TpagZ,23.6713,14.9,4.46216,0.0,4.46216,0,
19611,AmYPg,20.515,15.8242,13.2841,0.0,13.2841,0,
19608,rTaVG,23.1451,12.0497,16.5747,0.0,16.5747,0,
19607,FysGc,16.8963,16.6279,11.6457,0.0,11.6457,0,
19606,XwGJh,25.5408,12.9477,13.5093,0.0,13.5093,0,
19606,XwGJh,25.5408,12.9477,13.5093,0.0,13.5093,0,
19606,XwGJh,25.5408,12.9477,13.5093,0.0,13.5093,0,
19605,APlYW,24.2589,14.4032,17.5437,0.0,17.5437,0,
19605,APlYW,24.2589,14.4032,17.5437,0.0,17.5437,0,
19604,YBDAv,18.1404,17.6486,8.05156,0.0,8.05156,0,
19601,yWHzl,21.8678,16.4497,14.0863,0.0,14.0863,0,
19600,tlAsJ,23.6893,15.4333,1.38413,0.0,1.38413,0,
19600,tlAsJ,23.6893,15.4333,1.38413,0.0,1.38413,0,
19599,tNlIv,24.3814,13.268,1.05191,0.0,1.05191,0,
19599,tNlIv,24.3814,13.268,1.05191,0.0,1.05191,0,
19598,XwgFU,22.3953,12.2364,3.21217,0.0,3.21217,0,
19598,XwgFU,22.3953,12.2364,3.21217,0.0,3.21217,0,
